lat,lon,growth_rate
-89.5,-3.5,2.080917990640557
-89.5,-2.5,2.089400268814813
-89.5,-1.5,2.0893958690569434
-89.5,-0.5,2.0893472731693805
-89.5,0.5,2.0794829854224304
-89.5,1.5,2.088315125132908
-89.5,2.5,2.088291974936112
-89.5,3.5,2.079463446565228
-89.5,4.5,2.079451503969836
-89.5,5.5,2.088277564282407
-89.5,6.5,2.088239724015864
-89.5,7.5,2.088232417049369
-89.5,8.5,2.0882521252176502
-89.5,9.5,2.088233128534796
-89.5,10.5,2.079402459604239
-89.5,11.5,2.088277633371206
-89.5,12.5,2.0882161788031794
-89.5,13.5,2.088265882470182
-89.5,14.5,2.088206329975833
-89.5,15.5,2.0882630428260427
-89.5,16.5,2.0793480950143817
-89.5,17.5,2.088251538332031
-89.5,18.5,2.088238576781748
-89.5,19.5,2.0882123118049662
-89.5,20.5,2.0882275755915884
-89.5,21.5,2.088160632245604
-89.5,22.5,2.079289333707891
-89.5,23.5,2.0792805677414776
-89.5,24.5,2.088207074248885
-89.5,25.5,2.0881252477183807
-89.5,26.5,2.0881036436082923
-89.5,27.5,2.0881105143476475
-89.5,28.5,2.088100329601218
-89.5,29.5,2.0880691368644198
-89.5,30.5,2.088128714147615
-89.5,31.5,2.079181313660797
-89.5,32.5,2.088130679291339
-89.5,33.5,2.079157597889377
-89.5,34.5,2.079150329909225
-89.5,35.5,2.0791314726546943
-89.5,36.5,2.0880750766334017
-89.5,37.5,2.0879991722764544
-89.5,38.5,2.088024219007707
-89.5,39.5,2.0879995200381813
-89.5,40.5,2.087998924497072
-89.5,41.5,2.0880256191965145
-89.5,42.5,2.079040422976277
-89.5,43.5,2.0879766840885168
-89.5,44.5,2.087925639685409
-89.5,45.5,2.0878934203697668
-89.5,46.5,2.078995318206182
-89.5,47.5,2.078980971452097
-89.5,48.5,2.078969069371624
-89.5,49.5,2.087838472567455
-89.5,50.5,2.0878824711415973
-89.5,51.5,2.0878611077657183
-89.5,52.5,2.087823429142759
-89.5,53.5,2.0877960668053674
-89.5,54.5,2.087788588683281
-89.5,55.5,2.0878292505450418
-89.5,56.5,2.07886148153284
-89.5,57.5,2.087808361601958
-89.5,58.5,2.078835733769836
-89.5,59.5,2.0788227197674587
-89.5,60.5,2.0877723100380194
-89.5,61.5,2.087714898499769
-89.5,62.5,2.087737290256598
-89.5,63.5,2.087662491207368
-89.5,64.5,2.0787584951276017
-89.5,65.5,2.0787421158081543
-89.5,66.5,2.0876117343646
-89.5,67.5,2.087656229456229
-89.5,68.5,2.078709515451351
-89.5,69.5,2.0875689462722
-89.5,70.5,2.0786826546540738
-89.5,71.5,2.0876068079033985
-89.5,72.5,2.0775669168662603
-89.5,73.5,2.077546397804724
-89.5,74.5,2.0775307490781643
-89.5,75.5,2.086482084983857
-89.5,76.5,2.0775054995465325
-89.5,77.5,2.086441909346604
-89.5,78.5,2.0864147989158823
-89.5,79.5,2.086375328397594
-89.5,80.5,2.0774520065984348
-89.5,81.5,2.086300351598709
-89.5,82.5,2.086342226978445
-89.5,83.5,2.086314001457652
-89.5,84.5,2.0773968735701374
-89.5,85.5,2.077388387488156
-89.5,86.5,2.0862995000072715
-89.5,87.5,2.077361740178389
-89.5,88.5,2.086179819518577
-89.5,89.5,2.086163107171956
-89.5,90.5,2.0861497276751493
-89.5,91.5,2.07730983512306
-89.5,92.5,2.086179698977503
-89.5,93.5,2.086125832823825
-89.5,94.5,2.0861668573749057
-89.5,95.5,2.086097873700055
-89.5,96.5,2.086075165793318
-89.5,97.5,2.077241265547798
-89.5,98.5,2.077236242049878
-89.5,99.5,2.086087993694377
-89.5,100.5,2.0860834307801497
-89.5,101.5,2.086074667298476
-89.5,102.5,2.086038113139182
-89.5,103.5,2.0771734076660664
-89.5,104.5,2.0859771880071207
-89.5,105.5,2.085959053592717
-89.5,106.5,2.0859715809592103
-89.5,107.5,2.0859210736131786
-89.5,108.5,2.085964131212677
-89.5,109.5,2.0771257910802774
-89.5,110.5,2.077117733906164
-89.5,111.5,2.0771106961130386
-89.5,112.5,2.077103114213571
-89.5,113.5,2.07710069025552
-89.5,114.5,2.0858369890318613
-89.5,115.5,2.0770895759532664
-89.5,116.5,2.0858091928603244
-89.5,117.5,2.08584005954566
-89.5,118.5,2.077067372099634
-89.5,119.5,2.0857687273202146
-89.5,120.5,2.085737867342516
-89.5,121.5,2.0857242163824026
-89.5,122.5,2.0770487124740384
-89.5,123.5,2.0857574190654304
-89.5,124.5,2.0857490303476425
-89.5,125.5,2.0857696908360026
-89.5,126.5,2.0856889047934146
-89.5,127.5,2.0857180141325102
-89.5,128.5,2.0856747923027115
-89.5,129.5,2.077016252828912
-89.5,130.5,2.0856719274826787
-89.5,131.5,2.0770122594715303
-89.5,132.5,2.0856657989922383
-89.5,133.5,2.0856941287135555
-89.5,134.5,2.077009794496007
-89.5,135.5,2.085617457657122
-89.5,136.5,2.08564873270484
-89.5,137.5,2.077007821916709
-89.5,138.5,2.077006960621361
-89.5,139.5,2.085652698898514
-89.5,140.5,2.0770086558986804
-89.5,141.5,2.0855583385558134
-89.5,142.5,2.077005971063386
-89.5,143.5,2.08561460653749
-89.5,144.5,2.0771476474048995
-89.5,145.5,2.077160796733267
-89.5,146.5,2.077180406388948
-89.5,147.5,2.0857900064052046
-89.5,148.5,2.077213901518576
-89.5,149.5,2.0857878769434706
-89.5,150.5,2.08575897351642
-89.5,151.5,2.0772605798333643
-89.5,152.5,2.085782163710576
-89.5,153.5,2.085818652376645
-89.5,154.5,2.08577280863733
-89.5,155.5,2.077328876320678
-89.5,156.5,2.077346320173092
-89.5,157.5,2.0773642651418527
-89.5,158.5,2.0773867844141023
-89.5,159.5,2.085892938877293
-89.5,160.5,2.0774220773084267
-89.5,161.5,2.0774417040640287
-89.5,162.5,2.0859311527119644
-89.5,163.5,2.077475720746861
-89.5,164.5,2.085941818662945
-89.5,165.5,2.077518124247888
-89.5,166.5,2.0775362990003146
-89.5,167.5,2.085991826357315
-89.5,168.5,2.0775735725486584
-89.5,169.5,2.0860217913343035
-89.5,170.5,2.0776140609228837
-89.5,171.5,2.077638299747776
-89.5,172.5,2.0860573792929813
-89.5,173.5,2.077677720407109
-89.5,174.5,2.077698964755712
-89.5,175.5,2.0861026476425764
-89.5,176.5,2.086134988190338
-89.5,177.5,2.07776129849708
-89.5,178.5,2.077780412813865
-89.5,179.5,2.086169717630696
-88.5,-179.5,2.076893246843724
-88.5,-178.5,2.0849916986181825
-88.5,-177.5,2.08502409994287
-88.5,-176.5,2.077123735961891
-88.5,-175.5,2.0851622023840832
-88.5,-174.5,2.085195099923908
-88.5,-173.5,2.077359776800165
-88.5,-172.5,2.07743206875017
-88.5,-171.5,2.077511154322565
-88.5,-170.5,2.0775827319948235
-88.5,-169.5,2.0855223404722665
-88.5,-168.5,2.0777359584153032
-88.5,-167.5,2.0856550173257347
-88.5,-166.5,2.077884175578845
-88.5,-165.5,2.085738476679694
-88.5,-164.5,2.078022482766982
-88.5,-163.5,2.0868297391847364
-88.5,-162.5,2.086885568579021
-88.5,-161.5,2.07958727196268
-88.5,-160.5,2.086972013789307
-88.5,-159.5,2.0796835070633506
-88.5,-158.5,2.0871032955207625
-88.5,-157.5,2.087110357133156
-88.5,-156.5,2.079833098452696
-88.5,-155.5,2.0871373976449377
-88.5,-154.5,2.0799340338508614
-88.5,-153.5,2.0798794389845057
-88.5,-152.5,2.079925322767167
-88.5,-151.5,2.087347683786163
-88.5,-150.5,2.0873934609890057
-88.5,-149.5,2.0873587537686262
-88.5,-148.5,2.080108390902126
-88.5,-147.5,2.080147855780922
-88.5,-146.5,2.0875306552962343
-88.5,-145.5,2.0802379316504584
-88.5,-144.5,2.087566787886715
-88.5,-143.5,2.0803219933961827
-88.5,-142.5,2.080360191927241
-88.5,-141.5,2.0804056792626966
-88.5,-140.5,2.080443164320627
-88.5,-139.5,2.0877833691760657
-88.5,-138.5,2.0878437276776936
-88.5,-137.5,2.08788235307236
-88.5,-136.5,2.08058877168196
-88.5,-135.5,2.0806306024816763
-88.5,-134.5,2.08801453813237
-88.5,-133.5,2.088710048097255
-88.5,-132.5,2.081778486502742
-88.5,-131.5,2.0887772159667293
-88.5,-130.5,2.0888309082967567
-88.5,-129.5,2.0888850816325544
-88.5,-128.5,2.081885415567569
-88.5,-127.5,2.0819039077896377
-88.5,-126.5,2.0889456226529437
-88.5,-125.5,2.08895556054506
-88.5,-124.5,2.0890018502071825
-88.5,-123.5,2.082807709821111
-88.5,-122.5,2.0898799664739727
-88.5,-121.5,2.0828626070961604
-88.5,-120.5,2.0899595551551897
-88.5,-119.5,2.082912902210012
-88.5,-118.5,2.0829441391917958
-88.5,-117.5,2.0901273057821754
-88.5,-116.5,2.082992106005406
-88.5,-115.5,2.0901694632266867
-88.5,-114.5,2.0901519352232185
-88.5,-113.5,2.083054585757281
-88.5,-112.5,2.0830773420253763
-88.5,-111.5,2.0902640243502333
-88.5,-110.5,2.090318349340407
-88.5,-109.5,2.083133230853207
-88.5,-108.5,2.090342275223236
-88.5,-107.5,2.0831694765520297
