lat,lon,growth_err
-89.5,29.5,0.0492940347216204
-89.5,30.5,0.0492347346292883
-89.5,31.5,0.0692651317907022
-89.5,32.5,0.0492415179403077
-89.5,33.5,0.069258225903398
-89.5,34.5,0.069259126400051
-89.5,35.5,0.069273277993695
-89.5,36.5,0.0492534891081782
-89.5,37.5,0.0493100224647303
-89.5,38.5,0.0492906696020843
-89.5,39.5,0.049271352249987
-89.5,40.5,0.049275214250246
-89.5,41.5,0.0492453344977381
-89.5,42.5,0.0693242974372002
-89.5,43.5,0.0492613584743571
-89.5,44.5,0.0493292548225211
-89.5,45.5,0.0493532062331707
-89.5,46.5,0.0693041890051047
-89.5,47.5,0.0693077738384237
-89.5,48.5,0.0693177239952341
-89.5,49.5,0.0493189270476258
-89.5,50.5,0.0492562369266389
-89.5,51.5,0.0492829905596234
-89.5,52.5,0.0493231736307295
-89.5,53.5,0.0493338519290185
-89.5,54.5,0.0493392169428235
-89.5,55.5,0.0492689842843548
-89.5,56.5,0.0693018376048123
-89.5,57.5,0.0492415134338269
-89.5,58.5,0.0693105520549196
-89.5,59.5,0.0692442917955921
-89.5,60.5,0.0492450768313563
-89.5,61.5,0.0492740470576287
-89.5,62.5,0.0492481172726818
-89.5,63.5,0.0493275602862082
-89.5,64.5,0.0691900666507766
-89.5,65.5,0.0691949650468242
-89.5,66.5,0.0493270982931615
-89.5,67.5,0.049234576692993
-89.5,68.5,0.0691585016736602
-89.5,69.5,0.0493244114725048
-89.5,70.5,0.0691286256525425
-89.5,71.5,0.04924692545566
-89.5,72.5,0.0684391651811777
-89.5,73.5,0.0684328481183817
-89.5,74.5,0.0684031385242013
-89.5,75.5,0.0491359400376077
-89.5,76.5,0.0684273904947297
-89.5,77.5,0.0491375879660807
-89.5,78.5,0.0491362795520002
-89.5,79.5,0.0491642794214545
-89.5,80.5,0.0683674512117716
-89.5,81.5,0.0492144275061219
-89.5,82.5,0.0491266061154461
-89.5,83.5,0.0491379096833508
-89.5,84.5,0.068349077600123
-89.5,85.5,0.068336563312103
-89.5,86.5,0.0491222617858421
-89.5,87.5,0.0682999902154168
-89.5,88.5,0.0492070288261907
-89.5,89.5,0.0492017315468174
-89.5,90.5,0.0491978536874099
-89.5,91.5,0.0681758659125613
-89.5,92.5,0.0491144246271248
-89.5,93.5,0.049201937201807
-89.5,94.5,0.0491206209361867
-89.5,95.5,0.0491944653608797
-89.5,96.5,0.0491950818402072
-89.5,97.5,0.0681546636016809
-89.5,98.5,0.0680596824106079
-89.5,99.5,0.0491217459053393
-89.5,100.5,0.049102919729305
-89.5,101.5,0.0491017305746261
-89.5,102.5,0.0491075448624587
-89.5,103.5,0.0680050777656517
-89.5,104.5,0.0491652393300734
-89.5,105.5,0.0491700301063744
-89.5,106.5,0.0490910563117819
-89.5,107.5,0.0491796071187863
-89.5,108.5,0.0490897732754669
-89.5,109.5,0.0678777628837482
-89.5,110.5,0.0678542232123026
-89.5,111.5,0.0678307152474853
-89.5,112.5,0.0678287649002278
-89.5,113.5,0.0677617417201263
