lat,lon,cams_xco2
-89.5,123.5,412.90805
-89.5,124.5,412.90802
-89.5,125.5,412.90802
-89.5,126.5,412.90796
-89.5,127.5,412.90793
-89.5,128.5,412.90793
-89.5,129.5,412.90787
-89.5,130.5,412.90784
-89.5,131.5,412.90775
-89.5,132.5,412.90775
-89.5,133.5,412.9077
-89.5,134.5,412.9077
-89.5,135.5,412.90765
-89.5,136.5,412.90765
-89.5,137.5,412.90762
-89.5,138.5,412.90762
-89.5,139.5,412.90762
-89.5,140.5,412.90762
-89.5,141.5,412.90762
-89.5,142.5,412.90753
-89.5,143.5,412.90753
-89.5,144.5,412.9083
-89.5,145.5,412.90826
-89.5,146.5,412.90823
-89.5,147.5,412.90817
-89.5,148.5,412.90817
-89.5,149.5,412.90814
-89.5,150.5,412.90808
-89.5,151.5,412.90805
-89.5,152.5,412.90805
-89.5,153.5,412.90805
-89.5,154.5,412.90802
-89.5,155.5,412.90805
-89.5,156.5,412.90796
-89.5,157.5,412.90796
-89.5,158.5,412.90793
-89.5,159.5,412.90793
-89.5,160.5,412.90787
-89.5,161.5,412.90787
-89.5,162.5,412.90787
-89.5,163.5,412.90787
-89.5,164.5,412.90784
-89.5,165.5,412.90787
-89.5,166.5,412.90787
-89.5,167.5,412.90784
-89.5,168.5,412.90784
-89.5,169.5,412.90784
-89.5,170.5,412.90778
-89.5,171.5,412.90778
-89.5,172.5,412.90784
-89.5,173.5,412.90778
-89.5,174.5,412.90784
-89.5,175.5,412.90778
-89.5,176.5,412.90784
-89.5,177.5,412.90784
-89.5,178.5,412.90778
-89.5,179.5,412.90784
-88.5,-179.5,412.87607
-88.5,-178.5,412.8761
-88.5,-177.5,412.8762
-88.5,-176.5,412.87625
-88.5,-175.5,412.87628
-88.5,-174.5,412.8764
-88.5,-173.5,412.8765
-88.5,-172.5,412.8765
-88.5,-171.5,412.87662
-88.5,-170.5,412.87668
-88.5,-169.5,412.8768
-88.5,-168.5,412.87692
-88.5,-167.5,412.877
-88.5,-166.5,412.87704
-88.5,-165.5,412.8772
-88.5,-164.5,412.87732
-88.5,-163.5,412.89645
-88.5,-162.5,412.89648
-88.5,-161.5,412.8966
-88.5,-160.5,412.8967
-88.5,-159.5,412.89688
-88.5,-158.5,412.89697
-88.5,-157.5,412.8971
-88.5,-156.5,412.89722
-88.5,-155.5,412.89734
-88.5,-154.5,412.89752
-88.5,-153.5,412.90442
-88.5,-152.5,412.90448
-88.5,-151.5,412.90463
-88.5,-150.5,412.90472
-88.5,-149.5,412.9048
-88.5,-148.5,412.90494
-88.5,-147.5,412.9051
-88.5,-146.5,412.90518
-88.5,-145.5,412.9053
-88.5,-144.5,412.90543
-88.5,-143.5,412.90552
-88.5,-142.5,412.90564
-88.5,-141.5,412.9058
-88.5,-140.5,412.9059
-88.5,-139.5,412.90607
-88.5,-138.5,412.90622
-88.5,-137.5,412.90628
-88.5,-136.5,412.90643
-88.5,-135.5,412.9066
-88.5,-134.5,412.9067
-88.5,-133.5,412.92227
-88.5,-132.5,412.9225
-88.5,-131.5,412.92264
-88.5,-130.5,412.92282
-88.5,-129.5,412.92303
-88.5,-128.5,412.92316
-88.5,-127.5,412.92337
-88.5,-126.5,412.92355
-88.5,-125.5,412.92377
-88.5,-124.5,412.9239
-88.5,-123.5,412.9516
-88.5,-122.5,412.95166
-88.5,-121.5,412.9518
-88.5,-120.5,412.95187
-88.5,-119.5,412.95197
