lat,lon,cams_xco2
-88.5,-116.5,415.04474
-88.5,-115.5,415.04483
-88.5,-114.5,415.04495
-88.5,-113.5,415.04507
-88.5,-112.5,415.0452
-88.5,-111.5,415.04535
-88.5,-110.5,415.04547
-88.5,-109.5,415.04562
-88.5,-108.5,415.04572
-88.5,-107.5,415.04584
-88.5,-106.5,415.04602
-88.5,-105.5,415.0461
-88.5,-104.5,415.04626
-88.5,-103.5,415.04636
-88.5,-102.5,415.04654
-88.5,-101.5,415.04663
-88.5,-100.5,415.04675
-88.5,-99.5,415.04688
-88.5,-98.5,415.047
-88.5,-97.5,415.04718
-88.5,-96.5,415.0473
-88.5,-95.5,415.0474
-88.5,-94.5,415.04752
-88.5,-93.5,415.0476
-88.5,-92.5,415.0477
-88.5,-91.5,415.08884
-88.5,-90.5,415.08896
-88.5,-89.5,415.08914
-88.5,-88.5,415.08926
-88.5,-87.5,415.0894
-88.5,-86.5,415.08957
-88.5,-85.5,415.0897
-88.5,-84.5,415.0898
-88.5,-83.5,415.09
-88.5,-82.5,415.09012
-88.5,-81.5,415.07205
-88.5,-80.5,415.07214
-88.5,-79.5,415.07227
-88.5,-78.5,415.07242
-88.5,-77.5,415.07257
-88.5,-76.5,415.0727
-88.5,-75.5,415.0728
-88.5,-74.5,415.07294
-88.5,-73.5,415.07303
-88.5,-72.5,415.07315
-88.5,-71.5,415.07327
-88.5,-70.5,415.07336
-88.5,-69.5,415.07352
-88.5,-68.5,415.07364
-88.5,-67.5,415.07376
-88.5,-66.5,415.07385
-88.5,-65.5,415.07394
-88.5,-64.5,415.07407
-88.5,-63.5,415.0742
-88.5,-62.5,415.07428
-88.5,-61.5,415.1016
-88.5,-60.5,415.10168
-88.5,-59.5,415.1018
-88.5,-58.5,415.10193
-88.5,-57.5,415.10205
-88.5,-56.5,415.10214
-88.5,-55.5,415.10223
-88.5,-54.5,415.10233
-88.5,-53.5,415.1024
-88.5,-52.5,415.10254
-88.5,-51.5,415.08728
-88.5,-50.5,415.08737
-88.5,-49.5,415.08755
-88.5,-48.5,415.0876
-88.5,-47.5,415.0877
-88.5,-46.5,415.08783
-88.5,-45.5,415.08792
-88.5,-44.5,415.088
-88.5,-43.5,415.0881
-88.5,-42.5,415.0882
-88.5,-41.5,415.08826
-88.5,-40.5,415.0884
-88.5,-39.5,415.08847
-88.5,-38.5,415.08856
-88.5,-37.5,415.08865
-88.5,-36.5,415.08875
-88.5,-35.5,415.08884
-88.5,-34.5,415.08887
-88.5,-33.5,415.0889
-88.5,-32.5,415.089
-88.5,-31.5,415.08908
-88.5,-30.5,415.08917
-88.5,-29.5,415.0892
-88.5,-28.5,415.08926
-88.5,-27.5,415.0893
-88.5,-26.5,415.08936
-88.5,-25.5,415.0894
-88.5,-24.5,415.08948
-88.5,-23.5,415.0895
-88.5,-22.5,415.08957
-88.5,-21.5,415.08957
-88.5,-20.5,415.0896
-88.5,-19.5,415.09045
-88.5,-18.5,415.09048
-88.5,-17.5,415.09055
-88.5,-16.5,415.09064
-88.5,-15.5,415.09064
-88.5,-14.5,415.0907
-88.5,-13.5,415.09076
-88.5,-12.5,415.09085
-88.5,-11.5,415.09085
-88.5,-10.5,415.09088
-88.5,-9.5,415.0647
-88.5,-8.5,415.06473
-88.5,-7.5,415.06482
-88.5,-6.5,415.0649
-88.5,-5.5,415.0649
-88.5,-4.5,415.06494
-88.5,-3.5,415.06494
-88.5,-2.5,415.06503
-88.5,-1.5,415.06506
-88.5,-0.5,415.06506
-88.5,0.5,415.06512
-88.5,1.5,415.06512
-88.5,2.5,415.06516
-88.5,3.5,415.0652
-88.5,4.5,415.0652
-88.5,5.5,415.06525
-88.5,6.5,415.06525
-88.5,7.5,415.06528
-88.5,8.5,415.06528
-88.5,9.5,415.06528
-88.5,10.5,415.0588
-88.5,11.5,415.0588
-88.5,12.5,415.05878
-88.5,13.5,415.05878
-88.5,14.5,415.05878
-88.5,15.5,415.05878
-88.5,16.5,415.05878
-88.5,17.5,415.0587
-88.5,18.5,415.0587
-88.5,19.5,415.05865
-88.5,20.5,415.02914
-88.5,21.5,415.0291
-88.5,22.5,415.0291
-88.5,23.5,415.02905
-88.5,24.5,415.02902
-88.5,25.5,415.029
-88.5,26.5,415.02893
-88.5,27.5,415.02893
-88.5,28.5,415.02884
-88.5,29.5,415.0288
-88.5,30.5,415.02878
-88.5,31.5,415.0287
-88.5,32.5,415.0287
-88.5,33.5,415.0286
-88.5,34.5,415.0285
-88.5,35.5,415.02847
-88.5,36.5,415.02838
-88.5,37.5,415.02835
-88.5,38.5,415.0283
-88.5,39.5,415.0282
-88.5,40.5,415.02814
-88.5,41.5,415.02805
-88.5,42.5,415.02795
-88.5,43.5,415.02792
-88.5,44.5,415.02777
