lat,lon,mean_co2
-89.5,120.5,396.1762528875592
-89.5,121.5,396.1762015115804
-89.5,122.5,396.182365775955
-89.5,123.5,396.17613162131335
-89.5,124.5,396.17608743568894
-89.5,125.5,396.1760509507645
-89.5,126.5,396.1759824782378
-89.5,127.5,396.1759536559608
-89.5,128.5,396.1758977453982
-89.5,129.5,396.1820118935903
-89.5,130.5,396.1758175922456
-89.5,131.5,396.18190555150096
-89.5,132.5,396.1757394662656
-89.5,133.5,396.1757112065552
-89.5,134.5,396.1817437514301
-89.5,135.5,396.1756063926574
-89.5,136.5,396.1755843183974
-89.5,137.5,396.181590225373
-89.5,138.5,396.18154977412746
-89.5,139.5,396.1754768723516
-89.5,140.5,396.181452791173
-89.5,141.5,396.1753787004187
-89.5,142.5,396.1813643694316
-89.5,143.5,396.1753267178596
-89.5,144.5,396.18131872599736
-89.5,145.5,396.18128211122354
-89.5,146.5,396.1812284140784
-89.5,147.5,396.175241040972
-89.5,148.5,396.18114018903
-89.5,149.5,396.1751562885258
-89.5,150.5,396.1751007040479
-89.5,151.5,396.1810124796394
-89.5,152.5,396.175030978884
-89.5,153.5,396.1749993694527
-89.5,154.5,396.174945104996
-89.5,155.5,396.18085059763865
-89.5,156.5,396.1808095466181
-89.5,157.5,396.1807766041465
-89.5,158.5,396.1807316685977
-89.5,159.5,396.1747902909958
-89.5,160.5,396.180660856331
-89.5,161.5,396.1806260545079
-89.5,162.5,396.1746948846677
-89.5,163.5,396.1805605882456
-89.5,164.5,396.1746276107722
-89.5,165.5,396.180490231436
-89.5,166.5,396.1804595201198
-89.5,167.5,396.1745433540687
-89.5,168.5,396.180404783828
-89.5,169.5,396.1744942937561
-89.5,170.5,396.18034670576463
-89.5,171.5,396.1803139133036
-89.5,172.5,396.1744198439547
-89.5,173.5,396.1802686509883
-89.5,174.5,396.18023596989184
-89.5,175.5,396.1743540621003
-89.5,176.5,396.1743365747527
-89.5,177.5,396.1801693227202
-89.5,178.5,396.1801524780766
-89.5,179.5,396.1742806093174
-88.5,-179.5,396.15660126706257
-88.5,-178.5,396.15147853033136
-88.5,-177.5,396.15147235846337
-88.5,-176.5,396.15657031067417
-88.5,-175.5,396.15147743717
-88.5,-174.5,396.151476060053
-88.5,-173.5,396.1565678258603
-88.5,-172.5,396.1565664195162
-88.5,-171.5,396.1565754760878
-88.5,-170.5,396.1565842150136
-88.5,-169.5,396.151540707694
-88.5,-168.5,396.1566017023882
-88.5,-167.5,396.1515828038529
-88.5,-166.5,396.1566410904817
-88.5,-165.5,396.151619540953
-88.5,-164.5,396.1566868989239
-88.5,-163.5,396.1660691779495
-88.5,-162.5,396.1660876710776
-88.5,-161.5,396.1712348551225
-88.5,-160.5,396.1661324325457
-88.5,-159.5,396.1712780098864
-88.5,-158.5,396.1661974752632
-88.5,-157.5,396.1662240912349
-88.5,-156.5,396.1713693233832
-88.5,-155.5,396.16628834391486
-88.5,-154.5,396.1714375919541
-88.5,-153.5,396.1757534939176
-88.5,-152.5,396.1757786761633
-88.5,-151.5,396.1705734874449
-88.5,-150.5,396.17059369370907
-88.5,-149.5,396.170601237142
-88.5,-148.5,396.17587546902064
-88.5,-147.5,396.1759011393789
-88.5,-146.5,396.17068824652426
-88.5,-145.5,396.1759672463192
-88.5,-144.5,396.1707335115207
-88.5,-143.5,396.17603873439606
-88.5,-142.5,396.17607493845713
-88.5,-141.5,396.176114793332
-88.5,-140.5,396.1761572980274
-88.5,-139.5,396.1709136674471
-88.5,-138.5,396.1709608485858
-88.5,-137.5,396.1709992603816
-88.5,-136.5,396.17634760138384
-88.5,-135.5,396.1763898726314
-88.5,-134.5,396.1711379379774
-88.5,-133.5,396.1829013696973
-88.5,-132.5,396.1883133962186
-88.5,-131.5,396.1830605695162
-88.5,-130.5,396.18314041725927
-88.5,-129.5,396.18323036849546
-88.5,-128.5,396.1886408696743
-88.5,-127.5,396.1887319380972
-88.5,-126.5,396.18347931206426
-88.5,-125.5,396.18356321643984
-88.5,-124.5,396.1836556692433
-88.5,-123.5,396.2084939486713
-88.5,-122.5,396.20280789294486
-88.5,-121.5,396.2086014194811
-88.5,-120.5,396.2029028635002
-88.5,-119.5,396.2087196738527
-88.5,-118.5,396.2087786450671
-88.5,-117.5,396.20305624102735
-88.5,-116.5,396.20889856252745
-88.5,-115.5,396.203155877336
-88.5,-114.5,396.2031967335796
-88.5,-113.5,396.2090903974776
-88.5,-112.5,396.20915294769935
-88.5,-111.5,396.2033644038695
-88.5,-110.5,396.2034250907148
-88.5,-109.5,396.2093542887424
-88.5,-108.5,396.2035326492706
-88.5,-107.5,396.2094957299624
-88.5,-106.5,396.2036614810849
-88.5,-105.5,396.2037241249854
-88.5,-104.5,396.2097109592223
-88.5,-103.5,396.20383980720425
-88.5,-102.5,396.20985361914666
-88.5,-101.5,396.20992888226925
-88.5,-100.5,396.2100040970096
-88.5,-99.5,396.2100774518088
-88.5,-98.5,396.2101535953097
-88.5,-97.5,396.2102310760359
-88.5,-96.5,396.2043001730681
-88.5,-95.5,396.2043541004476
-88.5,-94.5,396.2104684569085
-88.5,-93.5,396.20450146048944
-88.5,-92.5,396.204571556128
-88.5,-91.5,396.2393483287375
-88.5,-90.5,396.2331343032062
-88.5,-89.5,396.2395554637077
-88.5,-88.5,396.2333088902956
-88.5,-87.5,396.23976713233634
-88.5,-86.5,396.2334994885245
-88.5,-85.5,396.23998925934455
-88.5,-84.5,396.2400928727884
-88.5,-83.5,396.2337979484822
-88.5,-82.5,396.23389333094207
-88.5,-81.5,396.2279486865333
-88.5,-80.5,396.221761706535
-88.5,-79.5,396.2218669745666
-88.5,-78.5,396.2283268442805
-88.5,-77.5,396.2221011560678
-88.5,-76.5,396.2285787546055
-88.5,-75.5,396.2223314275747
-88.5,-74.5,396.2224419803933
-88.5,-73.5,396.2225638064613
-88.5,-72.5,396.2290805742496
-88.5,-71.5,396.222792936668
-88.5,-70.5,396.2229005049309
-88.5,-69.5,396.2294587604677
-88.5,-68.5,396.2295815374828
-88.5,-67.5,396.22323753206143
-88.5,-66.5,396.2298337708074
-88.5,-65.5,396.22347836197457
-88.5,-64.5,396.2300802818567
-88.5,-63.5,396.23021101867977
-88.5,-62.5,396.2303318179604
-88.5,-61.5,396.2495670317709
-88.5,-60.5,396.24968207833183
-88.5,-59.5,396.2498057259423
-88.5,-58.5,396.2432171901054
-88.5,-57.5,396.25006053889217
-88.5,-56.5,396.2434493156778
-88.5,-55.5,396.2435541309047
-88.5,-54.5,396.2504318341383
-88.5,-53.5,396.2437767381937
-88.5,-52.5,396.25066905015177
-88.5,-51.5,396.2404824696211
-88.5,-50.5,396.2339295475543
-88.5,-49.5,396.234038657101
-88.5,-48.5,396.2408651224947
-88.5,-47.5,396.2409906908132
-88.5,-46.5,396.2343606195428
-88.5,-45.5,396.2412422680897
-88.5,-44.5,396.24136617377656
-88.5,-43.5,396.241487337466
-88.5,-42.5,396.2347958526567
-88.5,-41.5,396.2348856173782
-88.5,-40.5,396.2418439407064
-88.5,-39.5,396.235093898007
-88.5,-38.5,396.2420930699504
-88.5,-37.5,396.235296943503
-88.5,-36.5,396.2423263769061
-88.5,-35.5,396.2424431083023
-88.5,-34.5,396.2425629215409
-88.5,-33.5,396.2426680345207
-88.5,-32.5,396.2357902576165
-88.5,-31.5,396.2428981293336
-88.5,-30.5,396.2359825471806
-88.5,-29.5,396.2360774193342
-88.5,-28.5,396.2432229842738
-88.5,-27.5,396.2433280272396
-88.5,-26.5,396.2363575958242
-88.5,-25.5,396.2364497225344
-88.5,-24.5,396.2365403957901
-88.5,-23.5,396.2437354054167
-88.5,-22.5,396.2367173056564
-88.5,-21.5,396.2439327333238
-88.5,-20.5,396.2368843009708
-88.5,-19.5,396.2448080709222
-88.5,-18.5,396.23773768852607
-88.5,-17.5,396.24502496306746
-88.5,-16.5,396.2378886648343
-88.5,-15.5,396.2452410494601
-88.5,-14.5,396.2453432472031
-88.5,-13.5,396.2454395879687
-88.5,-12.5,396.24555283177057
-88.5,-11.5,396.23830257867314
-88.5,-10.5,396.2383764661994
-88.5,-9.5,396.2205473285496
-88.5,-8.5,396.2206382021453
-88.5,-7.5,396.22073152102826
-88.5,-6.5,396.2208208597104
-88.5,-5.5,396.2209113461028
-88.5,-4.5,396.22834061267616
-88.5,-3.5,396.22844233361656
-88.5,-2.5,396.2285500262613
-88.5,-1.5,396.2212473705088
-88.5,-0.5,396.2287484791286
-88.5,0.5,396.2288560802282
-88.5,1.5,396.2214954889952
-88.5,2.5,396.2290445900025
-88.5,3.5,396.2216458113957
-88.5,4.5,396.2292419386416
-88.5,5.5,396.2293197441291
-88.5,6.5,396.2294125517003
-88.5,7.5,396.2219469494344
-88.5,8.5,396.2220140065882
-88.5,9.5,396.222069345234
-88.5,10.5,396.2176240536302
-88.5,11.5,396.2176638997007
-88.5,12.5,396.2253377919759
-88.5,13.5,396.21779175646617
-88.5,14.5,396.2178245365874
-88.5,15.5,396.21787369532734
-88.5,16.5,396.2179265105282
-88.5,17.5,396.21796891631897
-88.5,18.5,396.21802430330433
-88.5,19.5,396.2180772540652
-88.5,20.5,396.1979705328812
-88.5,21.5,396.1979944713364
-88.5,22.5,396.2055984259497
-88.5,23.5,396.20563262966215
-88.5,24.5,396.1980175308017
-88.5,25.5,396.1980425843746
-88.5,26.5,396.1980574345901
-88.5,27.5,396.1980638151844
-88.5,28.5,396.2057608310094
-88.5,29.5,396.1981000507175
-88.5,30.5,396.2057933600494
-88.5,31.5,396.1980741914416
-88.5,32.5,396.20582561806594
-88.5,33.5,396.1980855755911
-88.5,34.5,396.20583991768007
-88.5,35.5,396.1980722923674
-88.5,36.5,396.1980932759406
-88.5,37.5,396.2058514760036
-88.5,38.5,396.19804809591454
-88.5,39.5,396.1980636653791
-88.5,40.5,396.1980485145829
-88.5,41.5,396.19800515443336
-88.5,42.5,396.19799367520255
-88.5,43.5,396.2057958144493
-88.5,44.5,396.19796247685736
-88.5,45.5,396.20575762576897
-88.5,46.5,396.20573896988793
-88.5,47.5,396.19788736322784
-88.5,48.5,396.1978882284518
-88.5,49.5,396.19782690068325
-88.5,50.5,396.1978095759915
-88.5,51.5,396.1977769857685
-88.5,52.5,396.1782817723664
-88.5,53.5,396.1781759350971
-88.5,54.5,396.1856211390253
-88.5,55.5,396.1780155403883
-88.5,56.5,396.1779351848311
-88.5,57.5,396.17785578102666
-88.5,58.5,396.1777472778197
-88.5,59.5,396.1851746229507
-88.5,60.5,396.17757819662165
-88.5,61.5,396.1849782165088
-88.5,62.5,396.18723304280695
-88.5,63.5,396.1796286496362
