lat,lon,growth_rate
-89.5,144.5,2.437291290018777
-89.5,145.5,2.437279691056858
-89.5,146.5,2.437257395347501
-89.5,147.5,2.4350282875291214
-89.5,148.5,2.4372174845602217
-89.5,149.5,2.435004424196052
-89.5,150.5,2.4350060310873687
-89.5,151.5,2.4371592223175758
-89.5,152.5,2.4349772223902164
-89.5,153.5,2.434953941975948
-89.5,154.5,2.4349613408651294
-89.5,155.5,2.43708179976926
-89.5,156.5,2.437053573477442
-89.5,157.5,2.4370324645242363
-89.5,158.5,2.437009648927358
-89.5,159.5,2.434858048926401
-89.5,160.5,2.436960407217441
-89.5,161.5,2.436940614544256
-89.5,162.5,2.43480875574528
-89.5,163.5,2.436888599272549
-89.5,164.5,2.4347825368694203
-89.5,165.5,2.436831723629439
-89.5,166.5,2.4368048898600705
-89.5,167.5,2.434718909490414
-89.5,168.5,2.436753862079684
-89.5,169.5,2.4346752089921893
-89.5,170.5,2.436697788570996
-89.5,171.5,2.436661830455193
-89.5,172.5,2.434613713775093
-89.5,173.5,2.436607608102236
-89.5,174.5,2.436578445987209
-89.5,175.5,2.434549050904195
-89.5,176.5,2.4345239736554163
-89.5,177.5,2.436485234178292
-89.5,178.5,2.4364580164323684
-89.5,179.5,2.434458393462592
-88.5,-179.5,2.436953905262385
-88.5,-178.5,2.43426218884764
-88.5,-177.5,2.434198694877807
-88.5,-176.5,2.436664476993656
-88.5,-175.5,2.4340458724041127
-88.5,-174.5,2.433983082973839
-88.5,-173.5,2.436370433600075
-88.5,-172.5,2.43627712107616
-88.5,-171.5,2.436170206814097
-88.5,-170.5,2.436070347427062
-88.5,-169.5,2.4335909166152305
-88.5,-168.5,2.4358635603311427
-88.5,-167.5,2.4334207701047035
-88.5,-166.5,2.435655428287305
-88.5,-165.5,2.43327738431168
-88.5,-164.5,2.4354337931150667
-88.5,-163.5,2.4347320161886614
-88.5,-162.5,2.43466888904544
-88.5,-161.5,2.436644960206536
-88.5,-160.5,2.434566989196981
-88.5,-159.5,2.4365154464595093
-88.5,-158.5,2.434443507844037
-88.5,-157.5,2.434397970942257
-88.5,-156.5,2.436294863590149
-88.5,-155.5,2.434307983957524
-88.5,-154.5,2.4361413273061885
-88.5,-153.5,2.43614238208238
-88.5,-152.5,2.4360693599647902
-88.5,-151.5,2.4342657669738514
-88.5,-150.5,2.434200890768011
-88.5,-149.5,2.4341588232196614
-88.5,-148.5,2.4357592495474023
-88.5,-147.5,2.435675446233631
-88.5,-146.5,2.433957286964585
-88.5,-145.5,2.435519977439185
-88.5,-144.5,2.433841482024945
-88.5,-143.5,2.435365350887821
-88.5,-142.5,2.435281170407791
-88.5,-141.5,2.435199429976308
-88.5,-140.5,2.4351146024752666
-88.5,-139.5,2.4335193677981124
-88.5,-138.5,2.433450168037268
-88.5,-137.5,2.4333774684631067
-88.5,-136.5,2.4348048323931835
-88.5,-135.5,2.4347162571584136
-88.5,-134.5,2.433175950514453
-88.5,-133.5,2.434616881927923
-88.5,-132.5,2.435894332878547
-88.5,-131.5,2.4345064757675914
-88.5,-130.5,2.4344419642795287
-88.5,-129.5,2.434382177707789
-88.5,-128.5,2.4355994734001456
-88.5,-127.5,2.435532961564036
-88.5,-126.5,2.434216745812193
-88.5,-125.5,2.434163758531554
-88.5,-124.5,2.4341020406821485
-88.5,-123.5,2.4372793413037925
-88.5,-122.5,2.436173856935113
-88.5,-121.5,2.4371587033276683
-88.5,-120.5,2.436060041968119
-88.5,-119.5,2.437037291114507
-88.5,-118.5,2.43697391247116
-88.5,-117.5,2.435887480814074
-88.5,-116.5,2.4368478919678296
-88.5,-115.5,2.4357788617009533
-88.5,-114.5,2.4357358790335866
-88.5,-113.5,2.4366649723153277
-88.5,-112.5,2.4366070560680555
-88.5,-111.5,2.435574314032465
-88.5,-110.5,2.4355121308548746
-88.5,-109.5,2.4364247892478943
-88.5,-108.5,2.435415287148317
-88.5,-107.5,2.436305334572296
-88.5,-106.5,2.4353000291648077
-88.5,-105.5,2.435244776570414
-88.5,-104.5,2.4361260561449285
-88.5,-103.5,2.435147443519611
-88.5,-102.5,2.436002586646623
-88.5,-101.5,2.4359497394129903
-88.5,-100.5,2.4358862522764184
-88.5,-99.5,2.4358247801798143
-88.5,-98.5,2.435775668893541
-88.5,-97.5,2.435718554932862
-88.5,-96.5,2.434789977805508
-88.5,-95.5,2.434757522745201
-88.5,-94.5,2.435544108940689
-88.5,-93.5,2.434657044601068
-88.5,-92.5,2.4346045174755773
