lat,lon,mean_co2
-89.5,57.5,403.558787137128
-89.5,58.5,403.5635150928068
-89.5,59.5,403.56352128786926
-89.5,60.5,403.5588132088408
-89.5,61.5,403.5588255950566
-89.5,62.5,403.5588316493735
-89.5,63.5,403.5588511274979
-89.5,64.5,403.5635666603813
-89.5,65.5,403.5635755762497
-89.5,66.5,403.5588782611799
-89.5,67.5,403.5588789962966
-89.5,68.5,403.5635994690337
-89.5,69.5,403.5589082013034
-89.5,70.5,403.5636188257518
-89.5,71.5,403.5589179498661
-89.5,72.5,403.5392194530623
-89.5,73.5,403.539211517705
-89.5,74.5,403.53920357141465
-89.5,75.5,403.5345624487014
-89.5,76.5,403.5391924963187
-89.5,77.5,403.5345519693191
-89.5,78.5,403.5345462746792
-89.5,79.5,403.5345416209653
-89.5,80.5,403.53915721538976
-89.5,81.5,403.5345354871531
-89.5,82.5,403.5345231016198
-89.5,83.5,403.53451868040105
-89.5,84.5,403.5391373518676
-89.5,85.5,403.5391269299057
-89.5,86.5,403.5344990954038
-89.5,87.5,403.53911521604914
-89.5,88.5,403.53450513274544
-89.5,89.5,403.5345011748542
-89.5,90.5,403.5344980174546
-89.5,91.5,403.53908316226136
-89.5,92.5,403.5344808341608
-89.5,93.5,403.53448543223055
-89.5,94.5,403.53447336392816
-89.5,95.5,403.5344802449662
-89.5,96.5,403.5344796084724
-89.5,97.5,403.5390605137023
-89.5,98.5,403.5390469067169
-89.5,99.5,403.5344646357843
-89.5,100.5,403.5344607647669
-89.5,101.5,403.5344620828795
-89.5,102.5,403.5344620448338
-89.5,103.5,403.5390267701813
-89.5,104.5,403.53446633902905
-89.5,105.5,403.5344716344743
-89.5,106.5,403.5344625010388
-89.5,107.5,403.5344703732331
-89.5,108.5,403.534463630844
-89.5,109.5,403.5390024839456
-89.5,110.5,403.53900015017337
-89.5,111.5,403.5389956257984
-89.5,112.5,403.53899570844027
-89.5,113.5,403.5389902204318
-89.5,114.5,403.5344832692094
-89.5,115.5,403.5389796537466
-89.5,116.5,403.5344917864693
-89.5,117.5,403.5344845507937
-89.5,118.5,403.53896912514017
-89.5,119.5,403.534504862352
-89.5,120.5,403.5345102400284
-89.5,121.5,403.53451685689794
-89.5,122.5,403.53896111742193
-89.5,123.5,403.53451457746894
-89.5,124.5,403.5345212006992
-89.5,125.5,403.53452210011744
-89.5,126.5,403.5345389050099
-89.5,127.5,403.53453748080665
-89.5,128.5,403.5345475972329
-89.5,129.5,403.5389585875788
-89.5,130.5,403.5345587697412
-89.5,131.5,403.5389579860537
-89.5,132.5,403.53457200316376
-89.5,133.5,403.534572096622
-89.5,134.5,403.5389523888322
-89.5,135.5,403.5345958594951
-89.5,136.5,403.5346026403574
-89.5,137.5,403.5389492729518
-89.5,138.5,403.5389545567492
-89.5,139.5,403.5346215572569
-89.5,140.5,403.53895505780935
-89.5,141.5,403.534651885738
-89.5,142.5,403.5389612790107
-89.5,143.5,403.5346630662741
-89.5,144.5,403.5400566323896
-89.5,145.5,403.54005722110327
-89.5,146.5,403.5400499444937
-89.5,147.5,403.5358528901978
-89.5,148.5,403.5400354749432
-89.5,149.5,403.5358522496501
-89.5,150.5,403.5358573025011
